Product name,Vaccine status,WHO review,Description,Developers,Highest Development Phase,Species,Life cycle,Antigen,Platform,Adjuvant,Route of administration,Trial status,Trial phase,Trial sites,Trial end year,CHMI site,Registry ID,Link to trial
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Safety and immunogenicity of GSK vaccine 257049 administered on 7 schedules to African infants,GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Malawi,2014,No,NCT01231503,https://clinicaltrials.gov/ct2/show/NCT01231503
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Phase II of RTS,S/AS01E in EPI regimen with DTPwHepB/Hib, OPV, measles and yellow fever vaccination in infants living in malaria-endemic regions (MALARIA-050)",GlaxoSmithKline (GSK),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Ghana;Gabon;Tanzania,2009,No,NCT00436007; EUCTR2012-005695-34-Outside-EU/EEA;,"https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2012-005695-34-Outside-EU/EEA; https://clinicaltrials.gov/study/NCT00436007
"
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","RTS,S/AS01E in Asian populations, safety and immunogenicity of fractional dose schedules",University of Oxford; Mahidol University,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Thailand,2018,No,NCT02992119,https://clinicaltrials.gov/ct2/show/NCT02992119
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","GSK vaccine candidate SB257049, various dose schedules, sporozoite challenge in healthy malaria-naïve adults",GlaxoSmithKline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,United States,2018,Yes,NCT03162614,https://clinicaltrials.gov/ct2/show/NCT03162614
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","GSK vaccine candidate SB257049, with or without fractional doses, early dose 4 and yearly doses, in children 5-17 months of age",GlaxoSmithKline  (GSK); PATH; US Department of Defence (DOD),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Ghana;Kenya,2022,No,NCT03276962,https://clinicaltrials.gov/ct2/show/NCT03276962
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","RTS,S immunologic hypo-responsiveness in African adults",GlaxoSmithKline (GSK); PATH; Kenya Medical Research Institute (KEMRI); US Department of Defence (DOD); Triclinium Clinical Development Ltd; DF/Net; Bill and Melinda Gates Foundation (BMGF),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Kenya,2022,No,NCT04661579,https://clinicaltrials.gov/ct2/show/NCT04661579
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended",Safety and immunogenicity of GSK Biologicals' malaria vaccine 257049 in HIV infected infants and children,GlaxoSmith Kline (GSK),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase III,Kenya,2013,No,NCT01148459,https://clinicaltrials.gov/study/NCT01148459
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Seasonal malaria vaccination (RTS,S/AS01) and seasonal malaria chemoprevention (SP/AQ)",London School of Hygiene & Tropical Medicine (LSHTM); University of Bamako; Institut de Recherche en Sciences de la Sante,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase IIIb,Mali;Burkina Faso,2020,No,NCT03143218,https://clinicaltrials.gov/study/NCT03143218
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Seasonal malaria vaccination (RTS,S/AS01) and seasonal malaria chemoprevention (SP/AQ) extension study",London School of Hygiene and Tropical Medicine (LSHTM); University of Bamako; Institut de Recherche en Sciences de la Sante,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase III,Mali;Burkina Faso,2022,No,NCT04319380,https://clinicaltrials.gov/study/NCT04319380
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Immunogenicity and safety of RTS,S/AS01 in co-administration with measles, rubella and yellow fever (YF) vaccines",GlaxoSmith Kline (GSK),Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase III,Ghana,2020,No,NCT02699099,https://clinicaltrials.gov/study/NCT02699099
"RTS,S/AS01E",Active,"WHO Prequalified,WHO recommended","Efficacy of delayed, fractional dose RTS,S/AS01E malaria vaccine in adults in Kenya treated with artemisinin combination therapy plus primaquine",GlaxoSmith Kline (GSK); PATH,Phase IV,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS01E,Intramuscular,Completed,Phase II,Kenya,2022,No,PACTR202006896481432,https://pactr.samrc.ac.za/TrialDisplay.aspx?TrialID=12156
"RTS,S/AS01E;RTS,S/AS02D",Active;Inactive,"WHO Prequalified,WHO recommended;None","Bridging safety and immunogenicity study of RTS,S/AS01E to RTS,S/AS02D in Gabonese children aged 18 months to 4 years",GlaxoSmithKline (GSK),Phase IV;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS01E;AS02D,Intramuscular,Completed,Phase II,Gabon,2007,No,NCT00307021,https://clinicaltrials.gov/ct2/show/NCT00307021
"RTS,S/AS02A",Inactive,,"Safety and immunogenicity of RTS,S/AS02A in Mozambican children aged 1 to 4 years at time of first vaccine dose",GlaxoSmithKline (GSK),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS02A,Intramuscular,Completed,Phase II,Mozambique,2007,No,NCT00323622,https://clinicaltrials.gov/ct2/show/NCT00323622
"RTS,S/AS02A",Inactive,,"Safety, immunogenicity and efficacy RTS,S/AS02A in children aged 1 to 4 years in a malaria-endemic region of Mozambique",GlaxoSmithKline (GSK),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS02A,Intramuscular,Completed,Phase II,Mozambique,2005,No,NCT00197041,https://clinicaltrials.gov/ct2/show/NCT00197041
"RTS,S/AS02A;RTS,S/AS01B",Inactive;Inactive,None;None,"Human sporozoite challenge/rechallenge of vaccines containing RTS,S",U.S. Army Medical Research and Materiel Command,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS02A;AS01B,Intramuscular,Completed,Phase II,United States,2006,Yes,NCT00075049,https://clinicaltrials.gov/ct2/show/NCT00075049
"RTS,S/AS02A;RTS,S/AS01B",Inactive;Inactive,None;None,"Safety, immunogenicity RTS,S/AS02A and RTS,S/AS01B in malaria-experienced adults living in western Kenya",U.S. Army Medical Research and Materiel Command,Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS02A;AS01B,Intramuscular,Completed,Phase II,Kenya,2006,No,NCT00197054,https://clinicaltrials.gov/ct2/show/NCT00197054
"RTS,S/AS02D",Inactive,,"Phase I/IIb of RTS,S/AS02D in infants in a malaria-endemic region (MALARIA-038)",GlaxoSmithKline (GSK),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS02D,Intramuscular,Completed,Phase II,Mozambique,2007,No,NCT00197028,https://clinicaltrials.gov/ct2/show/NCT00197028
"RTS,S/AS02D",Inactive,,"Phase IIb of RTS,S/AS02D in Expanded Program on Immunization (EPI) regimen with DTPw/Hib in infants living in a malaria-endemic region",GlaxoSmithKline (GSK),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS02D,Intramuscular,Completed,Phase II,Tanzania,2009,No,NCT00289185,https://clinicaltrials.gov/ct2/show/NCT00289185
"RTS,S/AS02D",Inactive,,Safety and immunogenicity of two formulations of GSK malaria vaccine candidate 257049 and 3 different vaccination schedules in children 5-17 months old in Ghana,GlaxoSmithKline (GSK),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"Recombinant subunit,Virus-like particle",AS02D,Intramuscular,Completed,Phase II,Ghana,2008,No,NCT00360230,https://clinicaltrials.gov/study/NCT00360230
"RTS,S/AS02D;RTS,S/AS02A",Inactive;Inactive,None;None,"Safety and immunogenicity of RTS,S/AS02D and RTS,S/AS02A in children aged 3 to 5 years in a malaria-endemic region of Mozambique",GlaxoSmithKline (GSK),Phase II;Phase II,P. falciparum;P. falciparum,Pre-erythrocytic stage;Pre-erythrocytic stage,PfCSP;PfCSP,"Recombinant subunit,Virus-like particle;Recombinant subunit,Virus-like particle",AS02D;AS02A,Intramuscular,Completed,Phase I,Mozambique,2005,No,NCT00197067,https://clinicaltrials.gov/ct2/show/NCT00197067
VCL2510,Inactive,,"PfCSP DNA vaccine followed by a single dose of MVA.CSO, prime boost",US National Institute of Allergy and Infectious Diseases (NIAID),Phase II,P. falciparum,Pre-erythrocytic stage,PfCSP,"DNA vaccine,Recombinant viral vector",,Intramuscular; Intradermal,Withdrawn,Phase I/II,Ghana,2008,No,NCT00377494,https://clinicaltrials.gov/ct2/show/NCT00377494
VLPM01,Active,,"Safety, tolerability, immunogenicity and experimental efficacy of VLPM01 (alpha virus-like-particle PfCSP) in healthy, malaria-naïve adult volunteers",VLP Therapeutics,Phase I,P. falciparum,Pre-erythrocytic stage,PfCSP,Virus-like particle,Alhydrogel,Intramuscular,Completed,Phase I,United States,2020,Yes,NCT03867331,https://clinicaltrials.gov/ct2/show/NCT03867331
VMP001/AS01B,Inactive,,"Phase 1/2a dose escalation study of PvCSP in healthy, malaria-naïve adults aged 18 to 55 years ",Walter Reed Army Institute of Researchl; PATH; GlaxoSmithKline (GSK); U.S. Army Medical Research and Development Command; US Department of Defense (DoD),Phase II,P. vivax,Pre-erythrocytic stage,PvCSP,Recombinant subunit,AS01B,Intramuscular,Completed,Phase I/II,United States,2012,Yes,NCT01157897,https://clinicaltrials.gov/ct2/show/NCT01157897
